sport,match_id,date,team_1,team_1_odds,team_2,team_2_odds,draw_odds,event,bet_type,snapshot_date
Dota 2,wbg_xg_bb_team_jul_19,jul_19,wbg_xg,1.44,bb_team,2.72,,riyadh_masters,match_winner,2024_07_19
Dota 2,tea_yellow_submarine_jul_19,jul_19,tea,4.16,yellow_submarine,2.95,1.87,lb_masters,match_winner_1x2_,2024_07_19
Dota 2,spirit_psg_quest_jul_19,jul_19,spirit,1.26,psg_quest,3.67,,riyadh_masters,match_winner,2024_07_19
Dota 2,one_move_dragon_jul_19,jul_19,one_move,1.80,dragon,8.64,2.24,lb_masters,match_winner_1x2_,2024_07_19
Dota 2,level_up_night_pulse_jul_19,jul_19,level_up,5.80,night_pulse,2.27,1.98,lb_masters,match_winner_1x2_,2024_07_19
Dota 2,gaimin_gladiators_liquid_jul_20,jul_20,gaimin_gladiators,1.77,liquid,2.00,,riyadh_masters,match_winner,2024_07_19
Leage of Legends,kt_rolster_drx_jul_19,jul_19,kt_rolster,1.12,drx,5.82,,lck,match_winner,2024_07_19
Leage of Legends,bliss_antic_jul_19,jul_19,bliss,1.12,antic,5.13,,lco,match_winner,2024_07_19
Leage of Legends,frank_west_point_ph_jul_19,jul_19,frank,1.02,west_point_ph,10.52,,pcs,match_winner,2024_07_19
Leage of Legends,lgd_funplus_phoenix_jul_19,jul_19,lgd,2.31,funplus_phoenix,1.58,,lpl,match_winner,2024_07_19
Leage of Legends,kwangdong_freecs_oksavingsbank_brion_jul_19,jul_19,kwangdong_freecs,1.13,oksavingsbank_brion,5.45,,lck,match_winner,2024_07_19
Leage of Legends,ninjas_in_pyjamas_jd_gaming_jul_19,jul_19,ninjas_in_pyjamas,4.51,jd_gaming,1.19,,lpl,match_winner,2024_07_19
Leage of Legends,psg_talon_ctbc_flying_oyster_jul_19,jul_19,psg_talon,1.28,ctbc_flying_oyster,3.16,,pcs,match_winner,2024_07_19
Leage of Legends,brute_dynamo_eclot_jul_19,jul_19,brute,1.28,dynamo_eclot,3.24,,hitpoint_masters,match_winner,2024_07_19
