sport,match_id,date,team_1,team_1_odds,team_2,team_2_odds,draw_odds,event,bet_type,snapshot_date
Leage of Legends,intz_kabum_jul_14,jul_14,intz,2.35,kabum,1.55,,cblol,match_winner,2024_07_14
Leage of Legends,furia_red_canids_jul_14,jul_14,furia,2.10,red_canids,1.69,,cblol,match_winner,2024_07_14
Leage of Legends,los_loud_jul_14,jul_14,los,4.68,loud,1.17,,cblol,match_winner,2024_07_14
Leage of Legends,flyquest_nzxt_disguised_jul_14,jul_14,flyquest_nzxt,1.36,disguised,2.78,,nacl,match_winner,2024_07_14
Leage of Legends,ccg_area_of_effect_jul_14,jul_14,ccg,1.52,area_of_effect,2.30,,nacl,match_winner,2024_07_14
Leage of Legends,winthrop_university_blue_otter_jul_15,jul_15,winthrop_university,1.73,blue_otter,1.94,,nacl,match_winner,2024_07_14
Leage of Legends,nongshim_redforce_academy_dplus_kia_challengers_jul_15,jul_15,nongshim_redforce_academy,4.68,dplus_kia_challengers,1.14,,lck_cl,match_winner,2024_07_14
Leage of Legends,ground_zero_ion_global_jul_15,jul_15,ground_zero,1.04,ion_global,8.36,,lco,match_winner,2024_07_14
Leage of Legends,t1_academy_brion_challengers_jul_15,jul_15,t1_academy,1.47,brion_challengers,2.41,,lck_cl,match_winner,2024_07_14
Leage of Legends,oh_my_god_invictus_jul_15,jul_15,oh_my_god,1.41,invictus,2.82,,lpl,match_winner,2024_07_14
Leage of Legends,bliss_antic_jul_15,jul_15,bliss,1.18,antic,4.09,,lco,match_winner,2024_07_14
Leage of Legends,fearx_youth_gen_g_global_academy_jul_15,jul_15,fearx_youth,1.18,gen_g_global_academy,4.14,,lck_cl,match_winner,2024_07_14
Leage of Legends,lgd_bilibili_jul_15,jul_15,lgd,8.16,bilibili,1.07,,lpl,match_winner,2024_07_14
Leage of Legends,entropiq_glore_jul_15,jul_15,entropiq,1.16,glore,4.39,,hitpoint_masters,match_winner,2024_07_14
Leage of Legends,brute_dynamo_eclot_jul_15,jul_15,brute,1.76,dynamo_eclot,1.90,,hitpoint_masters,match_winner,2024_07_14
Leage of Legends,unity_parakeet_jul_15,jul_15,unity,1.37,parakeet,2.75,,hitpoint_masters,match_winner,2024_07_14
Leage of Legends,rise_pain_academy_jul_15,jul_15,rise,3.34,pain_academy,1.26,,cblol_academy,match_winner,2024_07_14
Leage of Legends,flamengo_academy_loud_academy_jul_15,jul_15,flamengo_academy,1.97,loud_academy,1.72,,cblol_academy,match_winner,2024_07_14
Leage of Legends,los_academy_ilha_das_lendas_jul_15,jul_15,los_academy,4.75,ilha_das_lendas,1.13,,cblol_academy,match_winner,2024_07_14
Leage of Legends,kabum_academy_vivo_keyd_stars_academy_jul_15,jul_15,kabum_academy,2.91,vivo_keyd_stars_academy,1.33,,cblol_academy,match_winner,2024_07_14
Leage of Legends,tropa_raizen_furia_academy_jul_15,jul_15,tropa_raizen,3.62,furia_academy,1.22,,cblol_academy,match_winner,2024_07_14
Leage of Legends,intz_academy_red_academy_jul_16,jul_16,intz_academy,4.14,red_academy,1.18,,cblol_academy,match_winner,2024_07_14
Leage of Legends,liberty_academy_fluxo_academy_jul_16,jul_16,liberty_academy,2.00,fluxo_academy,1.69,,cblol_academy,match_winner,2024_07_14
Leage of Legends,drx_challengers_kt_rolster_challengers_jul_16,jul_16,drx_challengers,3.67,kt_rolster_challengers,1.22,,lck_cl,match_winner,2024_07_14
Valorant,loud_100_thieves_jul_14,jul_14,loud,2.73,100_thieves,1.39,,champions_tour_americas,match_winner,2024_07_14
Valorant,sentinels_g2_jul_15,jul_15,sentinels,1.44,g2,2.56,,champions_tour_americas,match_winner,2024_07_14
Valorant,vitality_natus_vincere_jul_15,jul_15,vitality,1.57,natus_vincere,2.21,,champions_tour_emea,match_winner,2024_07_14
Valorant,fnatic_karmine_corp_jul_15,jul_15,fnatic,1.40,karmine_corp,2.68,,champions_tour_emea,match_winner,2024_07_14
Valorant,galorys_red_canids_jul_15,jul_15,galorys,3.73,red_canids,1.20,,challengers_brazil,match_winner,2024_07_14
Valorant,tbk_stellae_jul_15,jul_15,tbk,1.54,stellae,2.28,,challengers_brazil,match_winner,2024_07_14
Valorant,trace_all_gamers_jul_16,jul_16,trace,1.08,all_gamers,6.49,,champions_tour_china,match_winner,2024_07_14
Valorant,elevate_disguised_jul_16,jul_16,elevate,1.89,disguised,1.79,,challengers_malaysia_and_singapore,match_winner,2024_07_14
Valorant,jd_gaming_bilibili_jul_16,jul_16,jd_gaming,2.10,bilibili,1.64,,champions_tour_china,match_winner,2024_07_14
Valorant,laze_reve_drift_arena_jul_16,jul_16,laze,1.28,reve_drift_arena,3.26,,challengers_malaysia_and_singapore,match_winner,2024_07_14
Valorant,carti_oasis_jul_17,jul_17,carti,6.12,oasis,1.08,,challengers_philippines,match_winner,2024_07_14
Valorant,slt_iam_jul_17,jul_17,slt,1.53,iam,2.30,,challengers_korea,match_winner,2024_07_14
Valorant,riddle_sengoku_jul_17,jul_17,riddle,1.09,sengoku,6.03,,challengers_japan,match_winner,2024_07_14
